CVE ID,First Seen,Days in Limbo,Registry Status,Source Count,Primary Source,Evidence URL
CVE-2026-3184,2026-02-25,0,NOT_FOUND,1,Red Hat Security Advisories,https://access.redhat.com/hydra/rest/securitydata/cve.json
CVE-2026-3190,2026-02-25,0,NOT_FOUND,1,Red Hat Security Advisories,https://access.redhat.com/hydra/rest/securitydata/cve.json
CVE-2026-3121,2026-02-25,0,NOT_FOUND,1,Red Hat Security Advisories,https://access.redhat.com/hydra/rest/securitydata/cve.json
CVE-2026-2493,2026-02-25,1,NOT_FOUND,1,ZDI Advisories,http://www.zerodayinitiative.com/advisories/ZDI-26-130/
CVE-2026-2491,2026-02-25,1,NOT_FOUND,1,ZDI Advisories,http://www.zerodayinitiative.com/advisories/ZDI-26-129/
CVE-2025-15060,2026-02-25,1,NOT_FOUND,1,ZDI Advisories,http://www.zerodayinitiative.com/advisories/ZDI-26-124/
CVE-2026-3099,2026-02-24,1,NOT_FOUND,2,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2026-2597,2026-02-22,3,NOT_FOUND,1,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2026-2708,2026-02-20,6,NOT_FOUND,2,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2026-2625,2026-02-18,7,NOT_FOUND,2,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2025-69287,2026-02-17,8,NOT_FOUND,1,GitHub Security Advisories,https://github.com/advisories/GHSA-vjpq-xx5g-qvmm
CVE-2026-2470,2026-02-17,8,NOT_FOUND,1,OSS Security,https://seclists.org/oss-sec/2026/q1/168
CVE-2026-2604,2026-02-17,8,NOT_FOUND,2,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2026-2050,2026-02-17,8,NOT_FOUND,1,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2026-2049,2026-02-17,8,NOT_FOUND,1,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2025-69690,2026-02-16,9,NOT_FOUND,1,Full Disclosure,https://seclists.org/fulldisclosure/2026/Feb/16
CVE-2025-69691,2026-02-16,9,NOT_FOUND,1,Full Disclosure,https://seclists.org/fulldisclosure/2026/Feb/16
CVE-2026-2574,2026-02-16,9,NOT_FOUND,2,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2026-2575,2026-02-16,9,NOT_FOUND,1,Red Hat Security Data,https://access.redhat.com/hydra/rest/securitydata/cve.json
CVE-2025-67860,2026-02-13,12,NOT_FOUND,1,GitHub Security Advisories,https://github.com/advisories/GHSA-3c9m-gq32-g4jx
CVE-2026-2366,2026-02-12,13,NOT_FOUND,1,Red Hat Security Data,https://access.redhat.com/hydra/rest/securitydata/cve.json
CVE-2026-2369,2026-02-12,13,NOT_FOUND,2,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2026-0964,2026-02-11,14,NOT_FOUND,2,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2026-0966,2026-02-11,14,NOT_FOUND,2,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2025-14821,2026-02-11,14,NOT_FOUND,2,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2026-0968,2026-02-11,14,NOT_FOUND,2,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2026-0967,2026-02-11,14,NOT_FOUND,2,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2026-0965,2026-02-11,14,NOT_FOUND,2,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2026-2272,2026-02-11,14,NOT_FOUND,2,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2026-2271,2026-02-11,14,NOT_FOUND,2,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
