CVE ID,First Seen,Days in Limbo,Registry Status,Source Count,Primary Source,Evidence URL
CVE-2026-4256,2026-01-12,0,NOT_FOUND,1,GitHub Code: intSpLoiT/intframework,https://github.com/intSpLoiT/intframework/blob/eabaa799d0260aa52b735fa9769266d1ce4b64ef/modules/exploits/example.py
CVE-2026-10973,2026-01-12,0,NOT_FOUND,1,GitHub Code: ExpLangcn/NucleiTP,https://github.com/ExpLangcn/NucleiTP/blob/2b7ecb9031a6eda4f272793045f29b339d8e0cce/CVES/medium/CVE-2016-10973.yaml
CVE-2026-22771,2026-01-12,0,NOT_FOUND,1,GitHub Code: envoyproxy/gateway,https://github.com/envoyproxy/gateway/blob/56767376fed3029ca6682f08975cfedbae0da03c/site/content/en/news/releases/notes/v1.6.2.md
CVE-2025-51046,2026-01-12,0,NOT_FOUND,1,GitHub Code: arschlochnop/VulnWatchdog,https://github.com/arschlochnop/VulnWatchdog/blob/4dcdedc3b07e64ee8c8d5824231594a23438ca21/data/2025/CVE-2025-51046-0xMesh-X_CVE-2025-51046.md
CVE-2025-60321,2026-01-12,0,NOT_FOUND,1,GitHub Code: BhavanaNannuru/cyber_security_journal,https://github.com/BhavanaNannuru/cyber_security_journal/blob/9196cc52a087ea4f8f4101e9cee10159ed3ac078/CVEs.md
CVE-2025-31337,2026-01-12,0,NOT_FOUND,1,GitHub Code: coleleavitt/AAMVA-PDF417-Vulnerability-Research,https://github.com/coleleavitt/AAMVA-PDF417-Vulnerability-Research/blob/e632650e4d69bdf0d11fe90db0ef289bcdaaf64f/huh.md
CVE-2025-31336,2026-01-12,0,NOT_FOUND,1,GitHub Code: coleleavitt/AAMVA-PDF417-Vulnerability-Research,https://github.com/coleleavitt/AAMVA-PDF417-Vulnerability-Research/blob/e632650e4d69bdf0d11fe90db0ef289bcdaaf64f/huh.md
CVE-2025-48932,2026-01-12,0,NOT_FOUND,1,GitHub Code: XiaomingX/data-cve-poc,https://github.com/XiaomingX/data-cve-poc/blob/16ef9f44e9a18253ab0558178c39b58b4b58cee2/2025/CVE-2025-48932/USAGE.md
CVE-2025-26244,2026-01-12,0,NOT_FOUND,1,GitHub Code: DeimosC2/DeimosC2,https://github.com/DeimosC2/DeimosC2/blob/036ed1ffd2397bca01d24e3b924476f9e94e47fa/README.md
CVE-2025-30412,2026-01-12,0,NOT_FOUND,1,GitHub Code: airbus-seclab/airbus-seclab.github.io,https://github.com/airbus-seclab/airbus-seclab.github.io/blob/467d73618b06e8631cce2c452a3f84f5f701c2b5/index.md
