CVE ID,First Seen,Days in Limbo,Registry Status,Source Count,Primary Source,Evidence URL
CVE-2026-2708,2026-02-20,2,NOT_FOUND,2,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2026-2625,2026-02-18,4,NOT_FOUND,2,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2025-69287,2026-02-17,4,NOT_FOUND,1,GitHub Security Advisories,https://github.com/advisories/GHSA-vjpq-xx5g-qvmm
CVE-2026-2470,2026-02-17,4,NOT_FOUND,1,OSS Security,https://seclists.org/oss-sec/2026/q1/168
CVE-2026-2604,2026-02-17,5,NOT_FOUND,2,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2026-2050,2026-02-17,5,NOT_FOUND,1,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2026-2049,2026-02-17,5,NOT_FOUND,1,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2025-69690,2026-02-16,5,NOT_FOUND,1,Full Disclosure,https://seclists.org/fulldisclosure/2026/Feb/16
CVE-2025-69691,2026-02-16,5,NOT_FOUND,1,Full Disclosure,https://seclists.org/fulldisclosure/2026/Feb/16
CVE-2026-2574,2026-02-16,5,NOT_FOUND,2,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2026-2575,2026-02-16,5,NOT_FOUND,1,Red Hat Security Data,https://access.redhat.com/hydra/rest/securitydata/cve.json
CVE-2025-67860,2026-02-13,8,NOT_FOUND,1,GitHub Security Advisories,https://github.com/advisories/GHSA-3c9m-gq32-g4jx
CVE-2026-2366,2026-02-12,10,NOT_FOUND,1,Red Hat Security Data,https://access.redhat.com/hydra/rest/securitydata/cve.json
CVE-2026-2369,2026-02-12,10,NOT_FOUND,2,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2026-0964,2026-02-11,10,NOT_FOUND,2,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2026-0966,2026-02-11,10,NOT_FOUND,2,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2025-14821,2026-02-11,10,NOT_FOUND,2,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2026-0968,2026-02-11,10,NOT_FOUND,2,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2026-0967,2026-02-11,10,NOT_FOUND,2,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2026-0965,2026-02-11,10,NOT_FOUND,2,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2026-2272,2026-02-11,10,NOT_FOUND,2,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2026-2271,2026-02-11,10,NOT_FOUND,2,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2026-1609,2026-02-10,11,NOT_FOUND,1,Red Hat Security Data,https://access.redhat.com/hydra/rest/securitydata/cve.json
CVE-2026-1584,2026-02-10,11,NOT_FOUND,1,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2026-2239,2026-02-09,12,NOT_FOUND,2,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2026-2100,2026-02-07,15,NOT_FOUND,2,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2025-65852,2026-02-07,15,NOT_FOUND,1,GitHub Security Advisories,https://github.com/advisories/GHSA-rjv5-9px2-fqw6
CVE-2025-62878,2026-02-05,17,NOT_FOUND,1,GitHub Security Advisories,https://github.com/advisories/GHSA-jr3w-9vfr-c746
CVE-2025-12805,2026-02-04,18,NOT_FOUND,1,Red Hat Security Advisories,https://access.redhat.com/hydra/rest/securitydata/cve.json
CVE-2026-1767,2026-02-03,19,NOT_FOUND,2,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2026-1766,2026-02-03,19,NOT_FOUND,2,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2026-1765,2026-02-03,19,NOT_FOUND,2,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2026-1764,2026-02-03,19,NOT_FOUND,2,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2025-63374,2026-02-03,19,NOT_FOUND,1,ZDI Advisories,http://www.zerodayinitiative.com/advisories/ZDI-26-059/
CVE-2025-67601,2026-02-01,20,NOT_FOUND,1,GitHub Security Advisories,https://github.com/advisories/GHSA-mc24-7m59-4q5p
CVE-2025-58151,2026-01-27,25,NOT_FOUND,1,OSS Security,https://seclists.org/oss-sec/2026/q1/118
CVE-2026-1220,2026-01-20,32,NOT_FOUND,2,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2025-14840,2026-01-13,39,NOT_FOUND,1,Red Hat Security Data,https://access.redhat.com/hydra/rest/securitydata/cve.json
CVE-2025-11563,2026-01-12,40,NOT_FOUND,1,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2025-14338,2026-01-09,43,NOT_FOUND,1,OSS Security,https://seclists.org/oss-sec/2026/q1/46
CVE-2025-66005,2026-01-09,43,NOT_FOUND,1,OSS Security,https://seclists.org/oss-sec/2026/q1/46
